2020-11-04 19:56:17.002313 : 172.217.194.147, Successful, Avg RTT:67.35
2020-11-04 19:56:17.373107 : 172.217.194.103, Successful, Avg RTT:90.11
2020-11-04 19:56:17.721246 : 172.217.194.104, Successful, Avg RTT:87.38
2020-11-04 19:57:12.764485 : 172.217.194.105, Successful, Avg RTT:261.52
2020-11-04 19:57:13.147281 : 172.217.194.99, Successful, Avg RTT:95.12
2020-11-04 19:57:13.416132 : 172.217.194.147, Successful, Avg RTT:66.66
2020-11-04 19:57:13.815574 : 172.217.194.103, Successful, Avg RTT:99.3
2020-11-04 19:57:14.249387 : 172.217.194.104, Successful, Avg RTT:108.09
2020-11-04 19:57:14.594300 : 172.217.194.106, Successful, Avg RTT:85.94
2020-11-04 19:58:39.491524 : 172.217.194.105, Successful, Avg RTT:158.38
2020-11-04 19:58:39.961119 : 172.217.194.99, Successful, Avg RTT:117.67
2020-11-04 19:58:40.637264 : 172.217.194.147, Successful, Avg RTT:168.71
2020-11-04 19:58:41.145032 : 172.217.194.103, Successful, Avg RTT:125.12
2020-11-04 19:58:41.389420 : 172.217.194.104, Successful, Avg RTT:60.47
2020-11-04 19:58:41.673807 : 172.217.194.106, Successful, Avg RTT:70.44
2020-11-04 20:54:25.858781 : 172.217.194.105, Successful, Avg RTT:61.94
2020-11-04 20:54:26.114018 : 172.217.194.99, Successful, Avg RTT:63.19
2020-11-04 20:54:26.373388 : 172.217.194.147, Successful, Avg RTT:64.12
2020-11-04 20:54:26.663445 : 172.217.194.103, Successful, Avg RTT:71.75
2020-11-04 20:54:26.925901 : 172.217.194.104, Successful, Avg RTT:65.46
2020-11-04 20:54:27.175473 : 172.217.194.106, Successful, Avg RTT:60.94
2020-11-04 20:54:54.315392 : 172.217.194.101, Successful, Avg RTT:65.01
2020-11-04 20:54:54.580292 : 172.217.194.99, Successful, Avg RTT:65.34
2020-11-04 20:54:54.865655 : 172.217.194.147, Successful, Avg RTT:71.91
2020-11-04 20:54:55.143429 : 172.217.194.103, Successful, Avg RTT:69.73
2020-11-04 20:54:55.406438 : 172.217.194.104, Successful, Avg RTT:65.35
2020-11-04 20:54:55.675815 : 172.217.194.106, Successful, Avg RTT:64.94
2020-11-04 20:55:29.852732 : 172.217.194.10, Successful, Avg RTT:2000.0
2020-11-04 20:55:30.105933 : 172.217.194.99, Successful, Avg RTT:62.86
2020-11-04 20:55:30.353012 : 172.217.194.147, Successful, Avg RTT:61.38
2020-11-04 20:55:30.614987 : 172.217.194.103, Successful, Avg RTT:65.04
2020-11-04 20:55:30.882607 : 172.217.194.104, Successful, Avg RTT:66.57
2020-11-04 20:55:31.112994 : 172.217.194.106, Successful, Avg RTT:57.02
2020-11-04 20:58:09.768754 : 172.217.194.10, Successful, Avg RTT:2000.0
2020-11-04 20:58:10.015463 : 172.217.194.99, Successful, Avg RTT:63.59
2020-11-04 20:58:10.262898 : 172.217.194.147, Successful, Avg RTT:62.44
2020-11-04 20:58:10.549234 : 172.217.194.103, Successful, Avg RTT:67.48
2020-11-04 20:58:10.828803 : 172.217.194.104, Successful, Avg RTT:69.56
2020-11-04 20:58:11.081960 : 172.217.194.106, Successful, Avg RTT:62.71
2020-11-04 20:58:19.116161 : 52.139.199.10, Successful, Avg RTT:2000.0
2020-11-04 21:03:09.699337 : 172.217.194.10, Successful, Avg RTT:2000.0
2020-11-04 21:03:09.956781 : 172.217.194.99, Successful, Avg RTT:66.25
2020-11-04 21:03:10.255346 : 172.217.194.147, Successful, Avg RTT:72.68
2020-11-04 21:03:10.536768 : 172.217.194.103, Successful, Avg RTT:68.82
