user_id,project_id,status_id,open_person,open_date,assign_person,assign_date,resolve_person,resolve_date,resolution_description,close_person,close_date,support_type_id,remark,open_dow
1,1,4,384,1-Jul-20,384,1-Jul-20,384,1-Jul-20,MS Teams setup,384,1-Jul-20,1,MS Teams setup,4
2,1,4,384,1-Jul-20,384,1-Jul-20,384,1-Jul-20,MS Teams setup,384,1-Jul-20,1,MS Teams setup,4
3,1,4,384,1-Jul-20,384,1-Jul-20,384,1-Jul-20,Outlook and MS Teams setup,384,1-Jul-20,1,Outlook and MS Teams setup,4
4,1,4,387,1-Jul-20,387,1-Jul-20,387,1-Jul-20,MS Teams setup,384,1-Jul-20,2,MS Teams setup,4
5,1,4,387,1-Jul-20,387,1-Jul-20,387,1-Jul-20,MS Teams setup,384,1-Jul-20,1,MS Teams setup,4
6,1,4,387,1-Jul-20,387,1-Jul-20,387,1-Jul-20,Printer Re-Setup,384,2-Jul-20,1,Printer Issue,4
7,1,4,387,1-Jul-20,387,1-Jul-20,387,1-Jul-20,Office Crack,384,1-Jul-20,1,Office Unlicense,4
8,2,4,387,1-Jul-20,387,1-Jul-20,387,1-Jul-20,Create BP code M1-117 on 2 CMS,384,1-Jul-20,3, WSR New Customer BP code create,4
9,1,4,386,2-Jul-20,386,2-Jul-20,386,2-Jul-20,Outlook Setup,384,2-Jul-20,1,Outlook Setup,5
10,1,4,386,2-Jul-20,386,2-Jul-20,386,2-Jul-20,Office Activate,384,2-Jul-20,4,Office Activate,5
11,1,4,387,2-Jul-20,387,2-Jul-20,387,2-Jul-20,MS Teams setup,384,2-Jul-20,1,MS Teams setup,5
12,1,4,387,2-Jul-20,387,2-Jul-20,387,2-Jul-20,Outlook Profile Re-Setup,384,2-Jul-20,1,Outlook Error,5
13,1,4,386,2-Jul-20,386,2-Jul-20,386,2-Jul-20,New PC Setup,384,2-Jul-20,4,New PC Setup,5
14,1,4,386,2-Jul-20,386,2-Jul-20,386,2-Jul-20,New PC Setup,384,2-Jul-20,4,New PC Setup,5
15,1,4,387,2-Jul-20,387,2-Jul-20,387,2-Jul-20,Outlook Profile Re-Setup,384,2-Jul-20,1,Outlook Error,5
16,1,4,387,2-Jul-20,387,2-Jul-20,387,2-Jul-20,Outlook Profile Re-Setup,384,2-Jul-20,1,Outlook Issue,5
8,2,4,387,2-Jul-20,387,2-Jul-20,387,2-Jul-20,Create BP code G2-067 on 2 CMS,384,2-Jul-20,3, WSR New Customer BP code create,5
17,1,4,387,2-Jul-20,387,2-Jul-20,387,2-Jul-20,Outlook Re-Setup and Team Setup,384,2-Jul-20,1,Outlook and Team Issue,5
18,1,4,387,2-Jul-20,387,2-Jul-20,387,2-Jul-20,Clean Temp File and Uninstall app,384,2-Jul-20,4,Laptop Maintenance,5
19,3,4,391,2-Jul-20,391,2-Jul-20,391,2-Jul-20,Repair FortiClient,384,2-Jul-20,1,Can't connect to VPN,5
13,3,4,391,2-Jul-20,391,2-Jul-20,391,2-Jul-20,Set up remote account,384,2-Jul-20,1,1 can't connect on new PC,5
20,4,4,391,2-Jul-20,391,2-Jul-20,391,2-Jul-20,Request Telenor to fix it,384,2-Jul-20,5,Advertisement ring tune activating on all 4s,5
21,5,4,392,2-Jul-20,392,2-Jul-20,392,2-Jul-20,Solved by 5,384,24-Sep-20,2,Rule Set Fault,5
22,3,4,391,3-Jul-20,391,3-Jul-20,391,3-Jul-20,New PC set up,384,3-Jul-20,1,1 can't connect on new PC,6
23,3,4,391,3-Jul-20,391,3-Jul-20,391,3-Jul-20,New PC set up,384,3-Jul-20,1,1 can't connect on new PC,6
24,3,4,391,3-Jul-20,391,3-Jul-20,391,3-Jul-20,Laptop and 1 maintainance,384,3-Jul-20,1,3 exit frequently,6
25,3,4,391,3-Jul-20,391,3-Jul-20,391,3-Jul-20,Laptop and 1 maintainance,384,3-Jul-20,1,3 exit frequently,6
26,3,4,391,3-Jul-20,391,3-Jul-20,391,3-Jul-20,insert sub1 in require raw,384,3-Jul-20,1,3 production order error,6
27,1,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Unicode Install,384,3-Jul-20,4,Unicode Error,6
28,2,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Create BP code KY-019 on 2 CMS,384,3-Jul-20,3, WSR New Customer BP code create,6
29,1,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Office Crack,384,3-Jul-20,1,Excel Filter Error,6
30,1,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Edit in Regedit file,384,3-Jul-20,1,MS Team in Outlook cannot open error,6
14,1,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Cannon MF4750 Printer Installation,384,3-Jul-20,4,Cannon MF4750 Printer Installation,6
31,1,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Kaspersky Installation and Activate,384,3-Jul-20,4,Kaspersky Installation and Activate,6
32,1,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Kaspersky Installation and Activate,384,3-Jul-20,4,Kaspersky Installation and Activate,6
33,1,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Kaspersky Installation and Activate,384,3-Jul-20,4,Kaspersky Installation and Activate,6
34,1,4,387,3-Jul-20,387,3-Jul-20,387,3-Jul-20,Outlook Setting Change,384,3-Jul-20,4,Outlook Mail Receive Error,6
21,5,4,392,4-Jul-20,392,4-Jul-20,392,4-Jul-20,Solved by 5,384,24-Sep-20,2,Rule Set Fault,7
35,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,New PC,384,6-Jul-20,4,New PC Setup,2
HR Teams,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,New PC,384,6-Jul-20,4,New PC Setup,2
37,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,New PC,384,6-Jul-20,4,New PC Setup,2
18,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,New PC,384,6-Jul-20,4,New PC Setup,2
38,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,New PC,384,6-Jul-20,4,New PC Setup,2
39,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,New PC,384,6-Jul-20,4,New PC Setup,2
40,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,New PC,384,6-Jul-20,4,New PC Setup,2
41,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,Office Activate,384,6-Jul-20,4,Office Activate,2
Moe 33 Khine,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,Wifi Error Fixed,384,6-Jul-20,4,Wifi Erroe Fixed,2
43,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,Office Activate,384,6-Jul-20,4,Office Activate,2
44,1,4,386,6-Jul-20,386,6-Jul-20,386,6-Jul-20,Scanner Setup,384,6-Jul-20,4,Scanner Setup,2
